Area Wise Water Supply timings ,,,,,
SI NO,Subdivision,service Station,Area(in Detail),Days of Supply,Timings
2076,,,Sai BabaTemple,1,02.00 PM to 03.30PM
2077,,,Paper angadi (shop) HMT layout,1,08:00 PM to 10.30AM
2078,,,Manjunath layout 2nd cross,1,04.00 PM to 06.00 PM
2079,,,Manjunath layout 1st cross,1,04.00 PM to 05.00 PM
2080,,,Dinnur main road 6th cross ex- service men road,1,04.00 PM to 08.00 PM
2081,,,Dinnur main road 2nd cross kousar nagar,1,07.00 PM to 10.00 PM
2082,,,Dasappa garden HMT layout,1,02.00 PM to 05.00 PM
2083,,,Dasappa garden HMT layout valve closes area,1,07.00 PM to 10.00 PM
2084,,,CBI road church,1,07.00 PM to 01.00 AM
2085,,,CBI road church close valve,1,05.00 PM to 09.00 AM
2086,,,3rd cross Kousar nagar,1,02.00 PM to 04.00 PM
2087,,RT Nagar  Servise Station,RT nagar 2nd block 6th cross,1,08.00 PM to 10.00 PM
2088,,,1St block Corparation bank (halu booth),1,10.00 PM to 12.00 AM
2089,,,1st block Hopcoms,1,08.00 PM to 10.00 PM
2090,,, RT nagar 2nd block 12th  13th 14th  cross,1,11.00 PM to 01.00 AM
2091,,,2nd block RT Nagar 14th and 14th A cross,1,11.00 PM to 01.00 AM
2092,,,5th main road RT nagar 2nd block,1,11.00 PM to 02.00 AM
2093,,,15 th cross 1st block RT nagar,1,12:00 AM to 02:00 AM 
2094,,,Narayanappa block 5 th cross Down,1,11.00 PM to 02.00 AM
2095,,,Narayanappa Block Nandini milk booth,1,08.00 PM to 11.00 PM
2096,,,Narayanappa Block 6th main road,1,11.00 PM to 02.00 AM
2097,,,1st Block RT NAGAR BATA SHOW ROOM,1,03.00 PM to 05.00 PM
2098,,,RT NAGAR 1st block BATA SHOWROOM 2,1,03.00 PM to 06.00 PM
2099,,,P and T colony All bek 1st cross to 3rd cross,1,08.00 PM to 11.00 PM
2100,,,1st BLOCK RT NAGAR ESI,1,05:00 PM to 07:00 PM
2101,,,2 nd block RT nagar Mysore Bank,1,03.00 PM to 06.00 PM
2102,,,2nd Block  9th and 11 cross,1,06:00 PM to 11.00 PM
2103,,,2nd Block BDA Complex RT Nagar,1,06:00 PM to 08.00 PM
2104,,,2nd block RT Nagar16th and 17th cross,1,08.00 PM to 11.00 PM
2105,,,2nd Block RT nagar  8th and 9th cross,1,08.00 PM to 11.00 PM
2106,,,5th A Main road 2nd Block RT nagar,1,08.00 PM to 11.00 PM
2107,,,Narayanappa Block 5th cross,1,08.00 PM to 11.00 PM
2108,,,RT nagar 1St block 19th cross,1,11.00 PM to 01.00 AM
2109,,,1st Block RT nagar  Masidi,1,08.00 PM to 11.00 PM
2110,,,Ward Office 1st block,1,08.00 PM to 11.00 PM
2111,,,RT nagar 2nd block 4th and 5th cross,1,08.00 PM to 10.00 PM
2112,,,RT nagar 2nd block 7th and 8th cross,1,08.00 PM to 10.00 PM
2113,,,Chamundi Nagar Dinnur Main Road Entry Valve,2,09.00 PM to 11.00 PM
2114,,,Chamundi Nagar Dharmanna Garden Beerappa Garden Jctn,2,09.00 PM to 11.00 PM
2115,,,Dinur Muninanjappa Layout,2,09.00 PM to 11.00 PM
2116,,,Dinur RT Nagar 1st Block,2,12.00 PM to 01.00 AM
2117,,,Dinur RT Nagar 1st Block Valve3,2,12.00 PM to 02.00 AM
2118,,,Dinur RT Nagar 1st Block Valve5,2,12.00 PM to 02.00 AM
2119,,,Devegowda Road,2,08.00 AM to 01.00 PM
2120,,,Dinur Ajjappa Block 2nd Main,2,09.00 AM to 11.00 PM
2121,,,Dinur RT Nagar 1st Block Valve4,2,12.00 PM to 02.00 AM
2122,,,Dinur RT Nagar 1st Block Valve2,2,12.00 PM to 02.00 AM
2123,,,Dinur Muninanjappa Layout Valve2,2,11:00 AM to 12:00 
2124,,,Chamundi Nagar Beerappa Garden,2,09:00 AM to 11:00 AM
2125,,,Chamundi Nagar Main Road Kousar Nagar 1 to 5th Cross,2,09:00 AM to 11:00 AM
2126,,,RT Nagar 1st Block JC Nagar Main Rd,1,07:00 PM to 08:00 PM
2127,,,RT Nagar 1st Block JC Nagar Main Rd 2,1,07:00 PM to 08:00 PM
2128,,,RT Nagar 1st Block Tree House,1,11.00 PM to 02.00 AM
2129,,,RT Nagar 1st Block End,1,11.00 PM to 02.00 AM
2130,,,RT Nagar 1st Block BBMP Park,1,11.00 PM to 02.00 AM
2131,,,RT Nagar 1st Block End2,1,11.00 PM to 02.00 AM
2132,,,RT Nagar 1st Block JC Nagar Main Rd3,1,11:00 AM to 02:00 PM
2133,,Manorayanna palya service station,KHB main road 4th cross,1,01:00 PM to 03:00 PM
2134,,,Ranka Nagar 5th Main & 2rd Cross,1,09:00 AM to 11:00 AM
2135,,,Ranka Nagar 1st Main 1st Cross,1,09:00 AM to 11:00 AM
2136,,,Athmananda colony 5th Bcross,1,09:00 AM to 11:00 AM
2137,,,Athmananda colony 6th cross,1,09:00 AM to 11:00 AM
2138,,,Athmananda colony 7 th cross,1,07:00 AM to 09:00 AM
2139,,,Vinayaka layout 9 AA cross,1,04:00 PM to 06:00 PM
2140,,,Vinayaka layout 9 th A cross,1,04:00 PM to 06:00 PM
2141,,,Vinayaka layout 9th B cross,1,04:00 PM to 06:00 PM
2142,,,Vinayaka layout 9th cross,1,02:00 PM to 04:00 PM
2143,,,Vinayaka layout 10th cross,1,01:00 PM to 02:00 PM
2144,,,Adharshanagar 1st cross,1,07:00 PM to 10:00 PM
2145,,,Adharshanagar 3rd cross,1,07:00 AM to 10:00 AM
2146,,,Adharshanagar 5 th crops,1,07:00 AM to 10:00 AM
2147,,,Gopalappa layout 4th  3rd 2nd and 1st crosses,1,08:00 AM to 10:00 AM
2148,,,Gopalappa layout 5th cross down,1,08:00 AM to 10:00 AM
2149,,,Gopalappa layout 5th cross,1,08:00 AM to 10:00 AM
2150,,,Sultanpalya Bust and Pakkada road,1,01:00 PM to 03:00 PM
2151,,,Sultanpalya Udupa mane,1,01:00 PM to 03:00 PM
2152,,,vijaya Bharathi school 1st cross,1,07:00 AM to 11:00 AM
2153,,,LR Bande Srinivasa Layout 8th A Main Road,1,04:00 PM to 06:00 PM
2154,,,KHB Main Road Srinivasa Layout 9th Main,1,12:00 PM to 04:00 PM
2155,,,KHB Main Road Srinivasa Layout 6th Main,1,12:00 PM to 02:00 PM
2156,,,Chinnanna Layout 1st Cross Valve2,1,11:00 AM to 12:00
2157,,,Manorayanpalya Aiyyappa Block 11th Cross Valve3,1,03:00 PM to 04:00 PM 
2158,,,Manorayanpalya Ayyappa Block 12th Cross Valve2,1,11:00 AM to 12:00 AM
2159,,,KHB Colony 2nd Main,1,11:00 AM to 01:00 PM
2160,,,LR Bande 1st Cross,1,11:00 AM to 12:00 AM
2161,,,Sultanpalya Main Road Opp to Atmananda Colony Raju,1,01:00 PM to 02:00 PM
2162,,,Ganesh Block 3rd Cross,1,09:00 AM to 12:00
2163,,,Ganesha Block 4th Cross Main,1,12:00 PM to 01:00 PM
2164,,,Atmananda Colony 1st Cross,1,05:00 PM to 08:00 PM
2165,,,Ganesha Block 6th Cross,1,09:00 AM to 12:00
2166,,,Dinur Main Road & LR Bande Road Junction,1,03:00 PM to 04:00 PM 
2167,,,KHB Main Road,1,04:00 PM to 06:00 PM 
2168,,,Atmananda Colony 4th Cross,1,09:00 AM to 11:00 AM
2169,,,Ganesha Block 7th Cross,1,09:00 AM to 12:00
2170,,,Ganesha Block 5thA Cross,1,09:00 AM to 12:00
2171,,,Atmananda Colony 3rd Cross,1,12:00 PM to 01:00 PM
2172,,,Atmananda Colony Sultanpalya 4th Cross Raju,1,10:00 PM to 11:00 PM
2173,,,Ganesha Block 4thA Main,1,09:00 AM to 12:00
2174,,,Ganesha Block 3rd Cross,1,09:00 AM to 12:00
2175,,,Bhuvaneshwari Nagar 1st Main,1,07:00 AM to 09:00 AM
2176,,,Sultanpalya Main Road 6th Main,1,01:00 PM to 02:00 PM
2177,,,KHB Colony 4th Main,1,01:00 PM to 03:00 PM
2178,,,KHB Colony 6th Main,1,04:00 PM to 06:00 PM
2179,,,Manorayanpalya Aiyyappa Block 11th Cross Valve1,1,12:00 PM to 01:00 PM
2180,,,Manorayanpalya Aiyyappa Block 10th Cross,1,11:00 AM to 01:00 PM
2181,,,LR Bande Srinivasa Layout,1,12:00 PM to 02:00 PM
2182,,,KHB Main Road Srinivasa Layout 7th Main,1,02:00 PM to 04:00 PM
2183,,,KHB Main Road Srinivasa Layout 10th Main,1,10:00 AM to 12 PM
2184,,,Chowdappa Block Sultanpalya 2nd Main,1,01:00 PM to 05:00 PM 
2185,,,Sultan Palya Main Road Raju,1,01:00 PM to 02:00 PM
2186,,,Atmananda Colony 2nd Cross,1,08:00 AM to 09.00 AM
2187,,,Atmananda Colony 5th Main,1,09:00 AM to 11:00 AM
2188,,,Atmananda Colony 5th Cross,1,09:00 AM to 11:00 AM
2189,,,Chowdappa Block Sultanpalya 2ndA Main,1,01:00 PM to 05:00 PM 
2190,,,Sultanpalya Main Road 5th Main,1,01:00 PM to 02:00 PM
2191,,,Sultanpalya Main Road near Ganesha Block Raju,1,01:00 PM to 02:00 PM
2192,,,KHB Colony 3rd Main,1,01:00 PM to 03:00 PM
2193,,,Manorayanpalya Ayyappa Block 12th Cross Valve1,1,10:00 PM to 11:00 PM
2194,,,Manorayanpalya Aiyyappa Block 11th Cross Valve2,1,01:00 PM to 02:00 PM
2195,,,Ranka Nagar 1st Main,1,09:00 AM to 11:00 AM
2196,,,Chinnanna Layout 1st Cross Valve1,1,09:00 AM to 11:00 AM
2197,,,LR Bande Srinivasa Layout 6th Main,1,12:00 PM to 02:00 PM
2198,,,KHB Main Road Srinivasa Layout 8th Main,1,12:00 PM to 04:00 PM
2199,,,LR Bande Srinivasa Layout 8th A Main Upside,1,02:00 PM to 04:00 PM
2200,,,Srinivas lay out 2nd and 3rd cross,1,12:00 PM to 02:00 PM
2201,,,Rankka nagar 5th main,1,01:00 PM to 03:00 PM
2202,,,Rankka Nagar 1st main,1,11:00 AM to 1:00 PM
2203,,,Manarayana playa ayyappa block,1,10:00 PM to 11:00 PM
2204,,,KHB road 6th cross,1,04:00 PM to 06:00 PM 
2205,,,KHB main road 7th to 10th cross,1,04:00 PM to 06:00 PM
2206,,,Ganesha Block Dinur Main Rd Main Valve,1,09:00 AM to 11:00 AM
2207,,,Chamundi Nagar Dharmanna Garden Masjid,2,09:00 AM to 11:00 AM
2208,,,Doddamma layout 2nd cross,2,10:00 AM to 11:00 AM
2209,,,Doddamma layout 3rd cross,2,12:00 PM to 01:00 PM
2210,,,Manarayanapalya 1st cross,2,09:00 AM to 10:00 AM
2211,,,Rathnamma layout 4th cross,2,03:00 PM to 04:00 PM 
2212,,,Rathnamma layout 5th cross downside,2,03:00 PM to 04:00 PM 
2213,,,Rathnamma layout 5th cross upside,2,03:00 PM to 04:00 PM 
2214,,,Seethappa layout 3rd cross,2,07:00 AM to 11:00 AM
2215,,,Seethappa block,2,07:00 AM to 11:00 AM
2216,,,Nanjamma layout 2 nd cross,1,09:00 AM to 11:00 AM
2217,,,Hanuman Layout 2A Cross,1,05:00 PM to 06:00 PM
2218,,,Manorayanpalya 1st Cross,1,09:00 AM to 10:00 AM
2219,,,Lingappa Block 1st Cross,2,08:00 AM to 01:00 PM
2220,,,Ganesha Block Dinur Main Rd,1,09:00 AM to 11:00 AM
2221,,,Nanjamma layout 1st cross,1,09:00 AM to 11:00 AM
2222,,,Athmanandha colony high stAtion line,1,02:00 PM to 04:00 PM
2223,,,Athmananda colony 7 th cross ganesh,1,11:00 AM to 12:00 AM
2224,,,Hanuman layout 2 nd  A cross,1,04:00 PM to 05:00 PM
2225,,,Papayya Reddy layout 2 nd cross,1,03:00 PM to 05:00 PM 
2226,,,Ganesha Block 5th Main,1,11:00 AM to 02:00 PM
2227,,,Thimmayya Garden 11th Cross,2,08:00 AM to 01:00 PM
2228,,,Lingappa Block 3rd Cross,2,08:00 AM to 01:00 PM
2229,,,Hanuman Layout 2B Cross,1,05:00 PM to 06:00 PM
2230,,,Ganesha Block 4th Main,1,11:00 AM to 02:00 AM
2231,,,Ganesha Block Dinur 3rd Main,1,11:00 AM to 02:00 AM
2232,,,Manorayanpalya up road,1,07:00 AM to 08:00 AM
2233,,,Manorayanpalya Chaudar Cross Road,1,06:00 PM to 07:00 PM
2234,,,Manorayanpalya 6thB Cross Road,1,06:00 PM to 07:00 PM
2235,,,Ayyappa block valve opens down side area supply,1,06:00 PM to 07:00 PM
2236,,,Manorayanpalya 1st Cross Chaudar Cross,1,01:00 PM to 02:00 PM
2237,,,Manorayanpalya 2nd Cross,1,12:00 PM to 01:00 PM
2238,,,Manorayanpalya 1st Cross 6 inch,1,01:00 PM to 02:00 PM
2239,,,Muneshwara Layout 1st 2nd Cross,1,06:00 PM to 07:00 PM
2240,,,Sanaulla layout 7th cross,1,11:00 AM to 12:00PM
2241,,,KHB layout 1st cross,1,07:00 PM to 08:00 PM
2242,,,Sultanpalya 7th main to 8th main,1,12:00 PM to 01:00 PM
2243,,,Gopalappa Layout 2nd Cross & MS Convent Road,1,02:00 PM to 03:00 PM
2244,,,AK colony Valve 6,1,11:00 PM to 12:00 
2245,,,9th cross sultanplya,1,01:00 PM to 02:00 PM
2246,,,AK colony valve 1,1,10:00 PM to 11:00 PM
2247,,,AK colony valve 2,1,10:00 AM to 11:00AM
2248,,,AK colony valve 3,1,10:00 AM to 11:00AM
2249,,,AK colony valve 4,1,10:00 AM to 11:00AM
2250,,,AK colony valve 5,1,11:00 PM to 12:00 
2251,,,Manorayanpalya 3rd Cross,1,12:00 PM to 01:00 PM
2252,,,Manarayanapalya 5th cross KHB ROAD,1,06:00 PM to 07:00 PM
2253,,,Ayyappa block 13th cross,1,05:00 PM to 06:00 PM
2254,,,Ayyappa block small area 14 hoses supply line,1,05:00 PM to 06:00 PM
2255,,,Ayyappa block upside valve close area,1,06:00 PM to 07:00 PM
2256,,,Tulsamma Layout 3rd Cross up,1,07:00 PM to 08:00 PM
2257,,,Tulsamma Layout 3rd Cross,1,07:00 PM to 08:00 PM
2258,,,Venkataswamappa layout 1st cross,1,05:00 PM to 06:00 PM
2259,,,Ambedkar layout 4th main,1,05:00 PM to 06:00 PM
2260,,,Ambedkar layout 2nd main,1,05:00 PM to 06:00 PM
2261,,,Ambedkar layout 1st cross,1,05:00 PM to 06:00 PM
2262,,,Adharsha nagar main road,1,12:00 PM to 04:00 PM
2263,,,3rd cross Ambedkar layout,1,05:00 PM to 08:00 PM
2264,,,Shampura Bus Stop,1,05:00 PM to 08:00 PM
2265,,,Shampura Main Road Parallel,1,08:00 PM to 10:00 PM
2266,,,Shampura A Block 1st Main,1,08:00 PM to 10:00 PM
2267,,,Shampura A Block Masjid,1,08:00 PM to 10:00 PM
2268,,,Munirappa Layout Shampura A Block,1,04:00 PM to 06:00 PM
2269,,,Munirappa Layout 6th Cross,1,04:00 PM to 06:00 PM
2270,,,Munirappa Layout Shampur Bus Stop,1,04:00 PM to 06:00 PM
2271,,,Kaveri Nagar 2nd Main Valve1,1,12:00 PM to 04:00 PM
2272,,,Kaveri Nagar 2nd Main Valve2,1,12:00 PM to 04:00 PM
2273,,,Munirappa Layout 5th Cross,1,04:00 PM to 06:00 PM
2274,,,Venkataramappa Layout 4th Main,1,04:00 PM to 06:00 PM
2275,,,Ananda Gokula Layout 2nd Main Road,1,12:00 PM to 04:00 PM
2276,,,Gandhi Nagar 4th Cross,1,08:00 PM to 10:00 PM
2277,,,Kaveri Nagar 1st to 10th Cross,3,12:00 PM to 04:00 PM
2278,,,Gandhi Nagar 1st 2nd Cross,1,08:00 PM to 10:00 PM
2279,,,Gandhi Nagar 3rd Cross,1,08:00 PM to 10:00 PM
2280,,,Shampura Main Road,1,08:00 PM to 10:00 PM
2281,,,Kaveri Nagar 2nd Cross,1,12:00 PM to 04:00 PM
2282,,,Ramayya Layout LR Bande Rd Main Valve,1,12:00 PM to 04:00 PM
2283,,,Munirappa Layout Shampura 3rd Cross,1,04:00 PM to 06:00 PM
2284,,,Munirappa Layout Shampura 4th Cross,1,04:00 PM to 06:00 PM
2285,,,Nandagokula Layout 1st Main,1,05:00 PM to 08:00 PM
2286,,,Nandagokula Layout 1st Main 7th A Cross,1,05:00 PM to 08:00 PM
2287,,,Railway Line Krishnappa Layout 1st Main,1,05:00 PM to 07:00 PM
2288,,,Krishnappa Layout 3rd Main,1,05:00 PM to 08:00 PM
2289,,,Ambedkar lay out 3rd cross,1,12:00 PM to 04:00 PM
2290,,,Adharsh nagar 1st cross,1,12:00 PM to 04:00 PM
2291,,,Manjusree Road Vasamma temple,1,08:00 PM to 10:00 PM
2292,,,kavalbyrasandra Upendra Sing layout 1st main,1,07:00 AM to 09:00 AM
2293,,,Old KV Road 1st Main Road Valve3,1,05:00 AM to 07:00 AM
2294,,,Muninagappa layput,1,05:00 AM to 07:00 AM
2295,,,Gandhi smaraka upside area,1,05:00 AM to 08:00 AM
2296,,,Old KV Road 1st Main Road Valve2,1,05:00 AM to 07:00 AM
2297,,,Muniswamappa Garden AMC Road,1,06:00 AM to 08:00 AM
2298,,,Muniswamappa Garden,1,06:00 AM to 08:00 AM
2299,,,Nagaraj layout,1,07:00 AM to 09:00 AM
2300,,,NP factory,1,07:00 AM to 09:00 AM
2301,,,NP Factory Orphanage,1,08:00 AM to 10:00 AM
2302,,,Jayanthamma Layout 7th Main 2,1,05:00 AM to 07:00 AM
2303,,,Nagamma layout 3td F cross,1,07:00 AM to 09:00 AM
2304,,,Chinnanna Layout Krishnappa Compound,1,08:00 PM to 09:00 PM
2305,,,Chinnanna Layout,1,08:00 PM to 09:00 PM
2306,,,Ambedkar College Main Valve,2,03:00 PM to 07:00 PM
2307,,,Ambedkar College Sub Valve,2,03:00 PM to 07:00 PM
2308,,,indra jith layout (ambedkar college),2,07:00 AM to 09:00 AM
2309,,,ambedkar main road,1,06:00 PM to 08:00 PM
2310,,,Gandhi Smaraka High School Road,1,07:00 PM to 09:00 PM
2311,,,Sakamma Layout,1,05:00 PM to 07:00 PM
2312,,,Manjusree Vasamma temple Road2,1,06:00 PM to 08:00 PM
2313,,,Jayanthamma Layout.kml,1,05:00 AM to 07:00 AM
2314,,,Dinur Main Road Brindavan Layout Junction,1,03:00 PM to 06:00 PM
2315,,,Brindavan Layout,1,08:00 PM to 09:00 PM
2316,,,NP Factory,1,08:00 AM to 10:00 AM
2317,,,Kavalbyrsandra Bus Stop,1,05:00 AM to 07:00 AM
2318,,,Jayanthamma Layout 7th Main,1,05:00 AM to 07:00 AM
2319,,,MM Layout 3rd Cross,1,12:00 PM to 02:00 PM
2320,,,MM Layout 3rd A Cross,1,12:00 PM to 02:00 PM
2321,,,MM Layout Lavanya Bekary 3rd Main Road,1,12:00 PM to 02:00 PM
2322,,,MM Layout 3rd A Main,1,12:00 PM to 02:00 PM
2323,,,MM Layout Kamraj Nagar,2,05:00 PM to 07:00 PM
2324,,,Muninagappa Layout,1,05:00 AM to 07:00 AM
2325,,,Nagamma Lyout 3rd B Cross,1,07:00 AM to 09:00 AM
2326,,,Nagamma Layout 3rd F Cross,1,07:00 AM to 09:00 AM
2327,,,Old KV Road Susanna Road,2,05:00 AM to 07:00 AM
2328,,,Old KV Road 1st Main Road,1,05:00 AM to 07:00 AM
2329,,,Nagaraj Layout,1,05:00 AM to 07:00 AM
2330,,,Bhrunadavan layout 3rd cross,1,03:00 PM to 05:00 PM
2331,,,Chinnanna layout,1,08:00 PM to 10:00 PM
2332,,,Siddartha layout 1st 2nd cross,2,03:00 PM to 04:00 PM
2333,,,old KV ROAD,1,07:00 AM to 09:00 AM
2334,,Sanajaya Nagar Service Station,Bhoopasandra,2,09:00 PM to 11:00 PM
2335,,,Bhoopasandra SBI,1,07:00 AM to 09:00 AM
2336,,, RMS colony 3rd cross 4th and 5th cross,1,01:00 PM to 03:00 PM
2337,,,RMS COLONY 1st main 1st cross and 2nd cross,1,03:00 PM to 04:00 PM
2338,,,Lakshmamma layout,1,01:00 PM to 02:00 PM
2339,,,Bhoopasandra 5th Cross Hosabadavane,1,09:00 AM to 11:00 AM
2340,,,UAS Layout 6th Cross,1,01:00 PM to 03:00 PM
2341,,,Anjaneya devastan nagshettihalli,1,08:00 AM to 09:00 AM
2342,,,RMS Colony,1,03:00 PM to 04:00 PM
2343,,,Central Exchange Layout,1,07:00 AM to 09:00 AM
2344,,,UAS Layout 1st 2nd Cross,1,12:00 PM to 02:00 PM
2345,,,UAS layout 7th Cross,1,01:00 PM to 03:00 PM
2346,,,yajamanappa layout 6th cross down side,1,11:00 AM to 12:00
2347,,,Manjunatha layout 5th cross,1,07:00 PM to 09:00 PM
2348,,,Gundappa road 1st main nagashettihalli (Radhakrishna layout4th cross and Patalappa layout 1st to 5th cross),1,03:00 PM to 06:00 PM
2349,,,Basavrshwara  layout  main road (1st cross to 4th cross),2,11:00 AM to 03:00 PM
2350,,,AECS Layout,1,05:00 PM to 06:00 PM
2351,,,Byrappa Layout Main Valve,1,11:00 AM to 12:00 PM
2352,,,Byrappa Layout 4th Cross,1,11:00 AM to 12:00 PM
2353,,,Byrappa Layout 5th Cross,1,11:00 AM to 12:00 PM
2354,,,Vinayaka Layout 4th 5th 6th Main,1,11:00 AM to 12:00 PM
2355,,,Kuvemppu road nagashettihalli 2nd main,1,11:00 AM to 03:00 PM
2356,,,Siddivinayaka Layout 6th Main Rd,1,09:00 AM to 11:00 PM
2357,,,Manjunatha layout boopsandra,1,07:00 PM to 09:00 PM
2358,,,Sihineeru bhavi road Nagashettihalli,1,11:00 AM to 03:00 PM
2359,,,Nagashettihalli Narayanappa compound,1,06:00 AM to 07:00 AM
2360,,,muneshwAra temple road,1,08:00 AM to 09:00 AM
2361,,,Channamma kalyana mantapa road,1,08:00 PM to 10:00 PM
2362,,,Channamma kalyana mantapa road (kemppayaa layout 3rd cross),2,08:00 PM to 10:00 PM
2363,,,Bhoovi colony 1st cross(Gowdara colony) Doddayyappa layout  bhoovi 1st cross),2,11:00 AM to 03:00 PM
2364,,,Basaveshwara layout,2,08:00 PM to 11:00 PM
2365,,,Pavitra school road nagashettihalli 7 th cross,1,09:00 AM to 11.00 AM
2366,,,yajamanappa layout 6 th cross,1,09:00 AM to 11.00 AM
2367,,,HP gas shop Nagadhettihalli,1,08:00 AM to 09:00 AM
2368,,,Bhoopasandra NTI Bus Stand,1,11:00 AM to 01:00 PM
2369,,,Byrappa Layout 2nd Main Road,1,01:00 PM to 02:00 PM
2370,,,Byrappa Layout 4th Cross Upside,1,11:00 AM to 12:00 PM
2371,,,Vinayaka Layout Main Valve,1,11:00 AM to 12:00 PM
2372,,,Vinayaka Layout Brindavan College Masjid,1,11:00 AM to 12:00 PM
2373,,,UAS Layout 3rd Cross,1,11:00 AM to 12:00 PM
2374,,,UAS Layout 4th Cross,1,11:00 AM to 12:00 PM
2375,,,Kalpana Chawla Road 60 Feet Rd,1,09:00 PM to 10:00 PM
2376,,,Ramakrishnappa layout ACS Layout,1,11:00 AM to 02:00 PM
2377,,,KEB Layout 5th Main,1,07:00 AM to 08:00 AM
2378,,,P and T Colony Upside,1,09:00 PM to 10:00 PM
2379,,,CIL layout 1st main down side,1,04:00 PM to 07:00 PM
2380,,,ACS Layout 2nd Main (hopcoms),1,05:00 PM to 07:00 PM
2381,,,ACS Layout 1st Main (RMV hospital downside),1,11:00 AM to 01:00 PM
2382,,,Geddalahalli super market 4 crosses supply (upside area),1,03:00 PM to 04:00 PM
2383,,,NGEF layout Karnataka bank and (Ragavendra mata),1,05:00 PM to 06:00 PM
2384,,,NGEF layout 2ndmain (ward office),1,03:00 PM to 04:00 PM
2385,,,Judges Layout,1,07:00 PM to 09:00 PM
2386,,,NGEF 5th main Krishna bekari opposite upside area,1,09:00 PM to 11:00 PM
2387,,,ACS lay out 2nd cross 4 in valve supply,1,09:00 AM to 11:00 AM
2388,,,ACS layout Sanjaynagar main road,1,11:00 AM to 01:00 PM
2389,,,Amarajyothi coffeeday (kanikya parameshwari temple),1,07:00 PM to 09:00 PM
2390,,,Radhakrishna temple upside area,1,03:00 PM to 04:00 PM
2391,,,Geddalahalli Anjsneyaswamy temple (slum),1,03:00 PM to 05:00 PM
2392,,,AECS chowtary (Gunddu Topu) Geddalahalli,1,03:00 PM to 05:00 PM
2393,,,Narayana hrudayalaya dental  clinic (NGEF layout down side),1,07:00 PM to 10:00 PM
2394,,,Hanumaiah Layout,1,11:00 AM to 02:00 AM
2395,,,ACS Layout RMV Hospital upside,1,11:00 AM to 02:00 AM
2396,,,Geddalahalli super market road downside,1,03:00 PM to 05:00 PM
2397,,,P and T Colony Down Area,1,11:00 AM to 12:00 PM
2398,,,AECS Layout 6th 7th Main,1,11:00 AM to 01:00 PM
2399,,,prestige (sweet angadi) Geddalahalli,1,05:00 PM to 07:00 PM
2400,,,Pooja Bakery KEB Layout 1st Main,1,05:00 PM to 07:00 PM
2401,,,KEB Layout,1,11:00 AM to 02:00 PM
2402,,,Ashwath Nagar 1st to 3rd,1,08:00 AM to 11:00 AM
2403,,,Ramakrishnappa layout 1st main,1,11:00 AM to 12:00
2404,,,Shoes angadi Ashwathnagar,1,10:00 PM to 11:00 PM
2405,,,Akai school ACS 3RD stage(Amarjyothi 2nd main),1,07:00 PM to 09:00 PM
2406,,,ACS layout Sanjaynagar main road(Sandeepani school),1,03:00 PM to 07:00 PM
2407,,,60 feet road Amarjyothi layout,1,07:00 PM to 09:00 PM
2408,,,Ashwathnagar 1st Block,1,08:00 AM to 10:00 AM
2409,,,4th main ACS LAYOUT(Ramana marcy),1,05:00 PM to 07:00 PM
2410,,,ACS Layout 3rd Main (Nandini milk booth),1,07:00 AM to 09:00 AM
2411,NW-2,WCR-I,"1st main road to 9th main road Shivanahalli, 5th phase, 1st Stg. & 6th phase, Mahaganapathinagar ",Day1,4.00 am to 1.00 pm
2412,,WCR-I,"1st main to 4th  main road, 3rd phase, Manjunathnagar ",Day1,4.00 am to 1.00 pm
2413,,WCR-I,"Filling of OHT at WCR -I Supply to Nagapura 2nd stage,akkamahadevi chowltry surrounding areaand part of indra nagara",Day2,5.30am to 11.00AM 
2414,,WCR-I,"UP STREAM Adarsha layout,Gayatri layout ,Maruthi layoutand University layout   ",Day1, 8.0 am to 12.00 Noon              
2415,,,"  DOWN STREAM Adarsha layout,Gayatri layout ,Maruthi layoutand University layout",Day2,   6.00 PM TO 4.00AM    
2416,,WCR-I,"Judges colony,bovi colony ,Surrounding of vidyavardhaka college ",Day1,2.0 pm to 9.0pm
2417,,,"15th to 19th Main-Manjunathanagar & part of University layout,",Day2,9.0pm to 4.0am
2418,,WCR-I,"1st stg, 2nd phase, Manjunathnagar ",Day1,5.0pm to 11.0pm
2419,,WCR-I,"2nd stg, 1st phase, Manjunathnagar ",Day1,
2420,,WCR-I,Indiranagar Slum 1st cross to 6th cross&2phase manjunathnagar,Day1,6.0 PM to 11.0 pm
2421,,,Indiranagar Slum 7th cross to 12th cross,Day2,11.0pm to 8.0am
2422,,WCR-I,"5th Main to 14th Main-MLO, 11th Cross to 13th Cross-Pipeline Road ",Day2,8.0am to 4.0 pm
2423,,WCR-I,11th Cross to 13th Cross upto 5th Main-Mahalakshmi puram and pipeline road ,Day2,8.0 am to 4.0 pm
2424,,,"part of 3rd Stg, 3rd Blk,  Basaveshwaranagar and Sanegoravanahalli ",Day2,7.0am to 1.0 pm
2425,,WCR-I,"part of 3rd Stg, 3rd Blk,  Basaveshwaranagar surrounding of Mathru nursing home ",Day2,9.00 pm to 4.00am
2426,,WCR-II,"Kaveri Nagar,Anjaneya gudda,2nd stage karnataka layout",Day1,4.0 pm to 9.0 pm
